# from https://forge.in2p3.fr/issues/33587
# pix_id  cluster_i  cluster_j  pix_id_in_cluster
1020        -6          6              2
1021        -6          6              4
1022        -6          6              7
1023        -6          8              3
1024        -6          8              6
1025        -5          9              1
1026        -5          9              5
1027        -5         11              1
1028        -5         11              4
1029        -5         11              6
1030        -4         12              2
1031        -4         12              3
1032        -3         11              5
1033        -3         11              7
1034        -2         12              1
1035        -2         12              4
1036        -2         12              6
1037        -1         13              2
1038        -1         13              3
1039         0         12              5
1040         0         12              7
1041         1         13              1
1042         1         13              4
1043         1         13              6
1044         2         14              2
1045         2         14              3
1046         3         13              5
1047         3         13              4
1048         3         13              3
1049         4         12              1
1050         4         12              2
1051         4         10              7
1052         4         10              6
1053         5          9              5
1054         5          9              4
1055         5          9              3
1056         6          8              1
1057         6          8              2
1058         6          6              7
1059         6          6              6
1060         7          5              5
1061         7          5              4
1062         7          5              3
1063         8          4              1
1064         8          4              2
1065         8          2              7
1066         8          2              4
1067         8          2              2
1068         8          0              5
1069         8          0              1
1070         7         -1              6
1071         7         -1              3
1072         7         -3              7
1073         7         -3              4
1074         7         -3              2
1075         7         -5              5
1076         7         -5              1
1077         6         -6              6
1078         6         -6              3
1079         6         -8              7
1080         6         -8              4
1081         6         -8              2
1082         6        -10              5
1083         6        -10              1
1084         5        -11              6
1085         5        -11              4
1086         5        -11              1
1087         4        -12              7
1088         4        -12              5
1089         3        -11              3
1090         3        -11              2
1091         2        -12              6
1092         2        -12              4
1093         2        -12              1
1094         1        -13              7
1095         1        -13              5
1096         0        -12              3
1097         0        -12              2
1098        -1        -13              6
1099        -1        -13              4
1100        -1        -13              1
1101        -2        -14              7
1102        -2        -14              5
1103        -3        -13              3
1104        -3        -13              4
1105        -3        -13              5
1106        -4        -12              6
1107        -4        -12              7
1108        -4        -10              2
1109        -4        -10              1
1110        -5         -9              3
1111        -5         -9              4
1112        -5         -9              5
1113        -6         -8              6
1114        -6         -8              7
1115        -6         -6              2
1116        -6         -6              1
1117        -7         -5              3
1118        -7         -5              4
1119        -7         -5              5
1120        -8         -4              6
1121        -8         -4              7
1122        -8         -2              2
1123        -8         -2              4
1124        -8         -2              7
1125        -8          0              3
1126        -8          0              6
1127        -7          1              1
1128        -7          1              5
1129        -7          3              2
1130        -7          3              4
1131        -7          3              7
1132        -7          5              3
1133        -7          5              6
1134        -6          6              1
1135        -6          6              5
1136        -6          8              2
1137        -6          8              4
1138        -6          8              7
1139        -6         10              3
1140        -6         10              6
1141        -6         12              3
1142        -5         11              5
1143        -5         11              7
1144        -4         12              1
1145        -4         12              4
1146        -4         12              6
1147        -3         13              2
1148        -3         13              3
1149        -2         12              5
1150        -2         12              7
1151        -1         13              1
1152        -1         13              4
1153        -1         13              6
1154         0         14              2
1155         0         14              3
1156         1         13              5
1157         1         13              7
1158         2         14              1
1159         2         14              4
1160         2         14              6
1161         3         15              2
1162         3         13              7
1163         3         13              6
1164         4         12              5
1165         4         12              4
1166         4         12              3
1167         5         11              1
1168         5         11              2
1169         5          9              7
1170         5          9              6
1171         6          8              5
1172         6          8              4
1173         6          8              3
1174         7          7              1
1175         7          7              2
1176         7          5              7
1177         7          5              6
1178         8          4              5
1179         8          4              4
1180         8          4              3
1181         9          3              1
1182         8          2              6
1183         8          2              3
1184         8          0              7
1185         8          0              4
1186         8          0              2
1187         8         -2              5
1188         8         -2              1
1189         7         -3              6
1190         7         -3              3
1191         7         -5              7
1192         7         -5              4
1193         7         -5              2
1194         7         -7              5
1195         7         -7              1
1196         6         -8              6
1197         6         -8              3
1198         6        -10              7
1199         6        -10              4
1200         6        -10              2
1201         6        -12              5
1202         5        -11              3
1203         5        -11              2
1204         4        -12              6
1205         4        -12              4
1206         4        -12              1
1207         3        -13              7
1208         3        -13              5
1209         2        -12              3
1210         2        -12              2
1211         1        -13              6
1212         1        -13              4
1213         1        -13              1
1214         0        -14              7
1215         0        -14              5
1216        -1        -13              3
1217        -1        -13              2
1218        -2        -14              6
1219        -2        -14              4
1220        -2        -14              1
1221        -3        -15              7
1222        -3        -13              2
1223        -3        -13              1
1224        -4        -12              3
1225        -4        -12              4
1226        -4        -12              5
1227        -5        -11              6
1228        -5        -11              7
1229        -5         -9              2
1230        -5         -9              1
1231        -6         -8              3
1232        -6         -8              4
1233        -6         -8              5
1234        -7         -7              6
1235        -7         -7              7
1236        -7         -5              2
1237        -7         -5              1
1238        -8         -4              3
1239        -8         -4              4
1240        -8         -4              5
1241        -9         -3              6
1242        -8         -2              1
1243        -8         -2              5
1244        -8          0              2
1245        -8          0              4
1246        -8          0              7
1247        -8          2              3
1248        -8          2              6
1249        -7          3              1
1250        -7          3              5
1251        -7          5              2
1252        -7          5              4
1253        -7          5              7
1254        -7          7              3
1255        -7          7              6
1256        -6          8              1
1257        -6          8              5
1258        -6         10              2
1259        -6         10              4
1260        -6         10              7
1261        -6         12              4
1262        -6         12              6
1263        -5         13              2
1264        -5         13              3
1265        -4         12              5
1266        -4         12              7
1267        -3         13              1
1268        -3         13              4
1269        -3         13              6
1270        -2         14              2
1271        -2         14              3
1272        -1         13              5
1273        -1         13              7
1274         0         14              1
1275         0         14              4
1276         0         14              6
1277         1         15              2
1278         1         15              3
1279         2         14              5
1280         2         14              7
1281         3         15              1
1282         3         15              4
1283         3         15              3
1284         4         14              1
1285         4         14              2
1286         4         12              7
1287         4         12              6
1288         5         11              5
1289         5         11              4
1290         5         11              3
1291         6         10              1
1292         6         10              2
1293         6          8              7
1294         6          8              6
1295         7          7              5
1296         7          7              4
1297         7          7              3
1298         8          6              1
1299         8          6              2
1300         8          4              7
1301         8          4              6
1302         9          3              5
1303         9          3              4
1304         9          3              2
1305         9          1              5
1306         9          1              1
1307         8          0              6
1308         8          0              3
1309         8         -2              7
1310         8         -2              4
1311         8         -2              2
1312         8         -4              5
1313         8         -4              1
1314         7         -5              6
1315         7         -5              3
1316         7         -7              7
1317         7         -7              4
1318         7         -7              2
1319         7         -9              5
1320         7         -9              1
1321         6        -10              6
1322         6        -10              3
1323         6        -12              7
1324         6        -12              4
1325         6        -12              1
1326         5        -13              7
1327         5        -13              5
1328         4        -12              3
1329         4        -12              2
1330         3        -13              6
1331         3        -13              4
1332         3        -13              1
1333         2        -14              7
1334         2        -14              5
1335         1        -13              3
1336         1        -13              2
1337         0        -14              6
1338         0        -14              4
1339         0        -14              1
1340        -1        -15              7
1341        -1        -15              5
1342        -2        -14              3
1343        -2        -14              2
1344        -3        -15              6
1345        -3        -15              4
1346        -3        -15              5
1347        -4        -14              6
1348        -4        -14              7
1349        -4        -12              2
1350        -4        -12              1
1351        -5        -11              3
1352        -5        -11              4
1353        -5        -11              5
1354        -6        -10              6
1355        -6        -10              7
1356        -6         -8              2
1357        -6         -8              1
1358        -7         -7              3
1359        -7         -7              4
1360        -7         -7              5
1361        -8         -6              6
1362        -8         -6              7
1363        -8         -4              2
1364        -8         -4              1
1365        -9         -3              3
1366        -9         -3              4
1367        -9         -3              7
1368        -9         -1              3
1369        -9         -1              6
1370        -8          0              1
1371        -8          0              5
1372        -8          2              2
1373        -8          2              4
1374        -8          2              7
1375        -8          4              3
1376        -8          4              6
1377        -7          5              1
1378        -7          5              5
1379        -7          7              2
1380        -7          7              4
1381        -7          7              7
1382        -7          9              3
